"equipmentnumber","type","description","stationnumber","createdAt","updatedAt","x","y"
10499360,"ELEVATOR","zu Gleis 2/4",2740,2018-07-19 10:51:18,2019-11-13 10:45:12,10.3296,51.64418
10499361,"ELEVATOR","zu Gleis 1",6412,2018-07-19 10:51:18,2019-11-13 10:45:12,10.56214,51.95501
10499372,"ELEVATOR","zu Gleis 3/4",238,2018-07-19 10:51:18,2019-11-13 10:45:12,8.95731,49.9577
10499373,"ELEVATOR","zu Gleis 1/2",238,2018-07-19 10:51:18,2019-11-13 10:45:12,8.95718,49.9578
10499609,"ELEVATOR","zu Gleis 1/10",2938,2018-07-19 10:51:15,2019-11-13 10:45:10,8.460604,53.1096378
10499610,"ELEVATOR","zu Gleis 2/3",2938,2018-07-19 10:51:15,2019-11-13 10:45:10,8.460313,53.1094991
10499641,"ELEVATOR","zu Gleis 1",3751,2018-07-19 10:51:15,2019-11-13 10:45:09,14.6713589,51.0993991
10499642,"ELEVATOR","zu Gleis 2/3",3751,2018-07-19 10:51:15,2019-11-13 10:45:09,14.6713245,51.0995518
10499643,"ELEVATOR","zu Gleis 1/2",2201,2018-10-24 10:10:10,2019-11-13 10:45:09,11.592915,50.883896
10499799,"ELEVATOR","zu Gleis 7/8",636,2018-07-19 10:51:16,2019-11-13 10:45:10,9.13767,48.94802
10499800,"ELEVATOR","zu Gleis 9/10",636,2018-07-19 10:51:18,2019-11-13 10:45:12,9.13776,48.94789
10499806,"ELEVATOR","zu Gleis 8/9",5251,2018-07-19 10:51:18,2019-11-13 10:45:12,7.4337514,52.276217
10499899,"ELEVATOR","zu Gleis 1",1738,2018-07-19 10:51:18,2019-11-13 10:45:12,8.78237,48.47968
10499900,"ELEVATOR","zu Gleis 2/3",1738,2018-07-19 10:51:19,2019-11-13 10:45:13,8.78231,48.47982
10499916,"ELEVATOR","zu Gleis 1/5 (S-Bahn)",412,2018-07-19 10:51:19,2019-11-13 10:45:13,10.0441287,53.5876292
10499934,"ELEVATOR","zu Gleis 1",5118,2018-07-19 10:51:19,2019-11-13 10:45:13,13.431151,52.2939901
10499935,"ELEVATOR","zu Gleis 2",5118,2018-07-19 10:51:19,2019-11-13 10:45:13,13.4307884,52.2935525
10499957,"ELEVATOR","zu Gleis 2/3",6897,2018-07-19 10:51:19,2019-11-13 10:45:13,9.7477308,53.9320314
10500078,"ELEVATOR","Gleis 1",4372,2018-07-19 10:51:17,2019-11-13 10:45:11,10.9107679,50.9142005
10500079,"ELEVATOR","Gleis 2/3",4372,2018-07-19 10:51:17,2019-11-13 10:45:11,10.9106393,50.9143264
10500157,"ELEVATOR","von Gleis 1/2 zu Gleis 13/14",4809,2018-07-19 10:51:17,2019-11-13 10:45:11,13.4695935,52.502802
10500158,"ELEVATOR","Hauptstraße zu Gleis 13/14",4809,2018-07-19 10:51:17,2019-11-13 10:45:11,13.4694555,52.5025428
10500168,"ELEVATOR","Sonntagsstraße zu Gleis 13/14",4809,2018-07-19 10:51:17,2019-11-13 10:45:11,13.4699785,52.5035782
10500175,"ELEVATOR","zu Gleis 3/4",2201,2018-07-19 10:51:17,2019-11-13 10:45:11,11.5932737,50.8840079
10500176,"ELEVATOR","zu Gleis 5",2201,2018-07-19 10:51:17,2019-11-13 10:45:11,11.5936172,50.8839898
10500178,"ELEVATOR","zu Gleis 2",3045,2018-07-19 10:51:17,2019-11-13 10:45:11,11.577755,50.9234879
10500179,"ELEVATOR","zu Gleis 6",2201,2018-07-19 10:51:17,2019-11-13 10:45:11,11.5937936,50.8840753
10500224,"ELEVATOR","zu Gleis 3/4",1076,2018-07-19 10:51:17,2019-11-13 10:45:11,13.5789745,51.1229498
10500283,"ELEVATOR","zu Unterführung zu Gleis 2",4552,2018-11-27 11:00:14,2019-11-13 10:45:10,14.8323,51.29865
10500284,"ELEVATOR","zum Ausgang / Gleis 1",4552,2018-12-11 12:35:14,2019-11-13 10:45:10,14.83242,51.29873
10500347,"ELEVATOR","zu Gleis 1",22,2018-10-01 13:10:11,2019-11-13 10:45:10,7.01644,52.082113
10500348,"ELEVATOR","zu Gleis 2",22,2018-10-01 13:10:11,2019-11-13 10:45:10,7.016687,52.082116
10500358,"ELEVATOR","führt zu Gleis 3",4016,2018-07-19 10:51:15,2019-11-13 10:45:10,7.01485,50.63753
10500395,"ELEVATOR","zu Gleis 1/2",731,2018-07-19 10:51:16,2019-11-13 10:45:10,7.3028324,51.4782731
10500425,"ELEVATOR","zu Gleis 3/4",5422,2018-07-19 10:51:16,2019-11-13 10:45:10,13.86997,51.45525
10500426,"ELEVATOR","zu Gleis 1/2",5422,2018-07-19 10:51:16,2019-11-13 10:45:10,13.87018,51.45517
10500442,"ELEVATOR",NA,768,2018-10-01 13:10:12,2019-11-13 10:45:10,7.1595619,50.6837783
10500443,"ELEVATOR",NA,768,2018-10-01 13:10:12,2019-11-13 10:45:10,7.159708,50.6838665
10500444,"ELEVATOR",NA,768,2019-03-20 10:30:15,2019-11-13 10:45:10,7.15954,50.6837
10500487,"ELEVATOR","zu Gleis 2/3",3095,2018-07-19 10:51:16,2019-11-13 10:45:10,7.66188,51.58542
